Category,Amount,Expense Date,Long Description,Short Description
Utilities,60,2/11/16,,
Miscellaneous,91,9/11/16,,
Food,74,16/11/16,,
Petrol,55,23/11/16,,
Food,95,30/11/16,,
Miscellaneous,65,7/12/16,,
Petrol,97,14/12/16,,
Food,69,21/12/16,,
Mobile,40,28/12/16,,
Education,95,4/1/17,,
Food,40,11/1/17,,
Rent,44,18/1/17,,
Utilities,85,25/1/17,,
Miscellaneous,59,1/2/17,,
Food,91,8/2/17,,
Petrol,49,15/2/17,,
Food,91,22/2/17,,
Miscellaneous,47,1/3/17,,
Petrol,56,8/3/17,,
Food,50,15/3/17,,
Mobile,42,22/3/17,,
Education,73,29/3/17,,
Food,74,5/4/17,,
Rent,98,12/4/17,,
Utilities,74,19/4/17,,
Miscellaneous,42,26/4/17,,
Food,89,3/5/17,,
Petrol,63,10/5/17,,
Food,72,17/5/17,,
Miscellaneous,91,24/5/17,,
Petrol,65,31/5/17,,
Food,73,7/6/17,,
Mobile,68,14/6/17,,
Education,90,21/6/17,,
Food,42,28/6/17,,
Rent,71,5/7/17,,
Utilities,97,12/7/17,,
Miscellaneous,77,19/7/17,,
Food,77,26/7/17,,
Petrol,47,2/8/17,,
Food,60,9/8/17,,
Miscellaneous,70,16/8/17,,
Petrol,58,23/8/17,,
Food,77,30/8/17,,
Mobile,82,6/9/17,,
Education,76,13/9/17,,
Food,98,20/9/17,,
Rent,45,27/9/17,,
Utilities,53,4/10/17,,
Miscellaneous,51,11/10/17,,
Food,42,18/10/17,,Really delicious meal
Petrol,75,25/10/17,,
Food,42,1/11/17,,
Miscellaneous,65,8/11/17,,Special gift
Petrol,63,15/11/17,,
Food,96,22/11/17,,
